tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO TRASEIRA;PENDENTE;01/01/2019;00:41:00;IPSEP;AV RECIFE;;LADO OPOSTO AO Nº 3257;COLISÃO TRASEIRA;ART.181, OBSTRUÇÃO DE ENTRADA E SAÍDA DE GARAGEM DO CONDOMINIO;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;01/01/2019;01:37:00;BOA VIAGEM;RUA PADRE BERNADINO PESSOA;;;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;15/01/2019;14:20:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;EM FRENTE A DELEGACIA DE BOA VIAGEM, LADO ESQUERDO DA PISTA;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;01/01/2019;02:53:00;IMBIRIBEIRA;AV GENERAL MAC ARTHUR;100;EM FRENTE A ART LED ILUMINAÇÃO;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;01/01/2019;08:17:00;JAQUEIRA;RUA TITO ROSAS;63;ED. JARDINS DA JAQUEIRA;COLISÃO COM CICLISTA;COLISÃO ENVOLVENDO ÔNIBUS E BICICLETA COM VÍTIMA. EQUIPE DEPAROU-SE COM O ACIDENTE.;;;;1;;1;;;;1;
COLISÃO FRONTAL;FINALIZADA;01/01/2019;09:30:00;IBURA;AV DOIS RIOS;1392;IBURA  DE  BAIXO  EM  FRENTE  A IGREJA  PAZ  E VIDA;COLISÃO FRONTAL;COLISÃO VITIMAS SOCORRIDAS  PELO  SAMU;1;1;;;;;;;;2;
CHOQUE OBJETO FIXO;FINALIZADA;01/01/2019;09:54:00;SAN MARTIN;AV GENERAL SAN MARTIN;1622;APÓS AO BATLHÃO DE CAVALARIA DA PMPE;CHOQUE OBJETO FIXO;VEICULO  SE CHOCOU COM UM MURO -D 619237;1;;;;;;;;;4;
CHOQUE VEÍCULO PARADO;FINALIZADA;01/01/2019;13:05:00;BONGI;EST DO BONGI;290;EM FRENTE A OFICINA DA FIORI;CHOQUE VEÍCULO PARADO;COLISÃO SEM VITIMAS/ O VEICULO ESTA EMBAIXO DA CARRETA;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/01/2019;15:50:00;MADALENA;EST DOS REMEDIOS;2360;E/F A PB AUTOMOVEIS MULTIMARCAS;COLISÃO TRASEIRA;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ATROPELAMENTO;CANCELADA;01/01/2019;16:01:00;CAMPO GRANDE;EST DE BELEM;;E/F A IGREJA UNIVERSAL NO ANTIGO TERMINAL DE CAMPO GRANDE;ATROPELAMENTO;;1;;;;;;;;;1;
CHOQUE VEÍCULO PARADO;FINALIZADA;01/01/2019;17:23:00;NOVA DESCOBERTA;AV VEREADOR OTACILIO AZEVEDO;2480;;CHOQUE VEÍCULO PARADO;COLISÃO SEM VITIMA;1;;1;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;01/01/2019;19:26:00;ENGENHO DO MEIO;RUA ANTONIO CURADO;;;ABALROAMENTO TRANSVERSAL;POLO X JAC;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;01/01/2019;20:30:00;ESTÂNCIA;AV DR JOSE RUFINO;;EM FRENTE AO COLÉGIO VISÃO;COLISÃO FRONTAL;COLISÃO COM VITIMA/ SARGENTO FERIDA;3;;;;;;;;;1;
COLISÃO;CANCELADA;01/01/2019;21:05:00;BOA VIAGEM;RUA DES JOAO PAES;;RUA SAINDO DO TUNEL DO MESMO LADO DO ATACADÃO;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;
